title,first_name,occupation,nationality,birth_year,age,article,url
james m. fail,james,executive,American,1926,83,"james m. fail ( march 28, 1926february 26, 2010 ) was an american financial executive, the chairman of stone holdings, inc. and bluebonnet savings bank. a native of mobile, alabama, he attended murphy high school and served for three years in the u.s. navy. after graduating from the university of alabama ( where he was a brother of the kappa sigma fraternity, beta chapter ) in 1949, he began his career as a securities salesman for merrill lynch. in the following decades, fail and his holding companies have owned and operated a variety of investment, mortgage, banking, savings and loan, and insurance businesses throughout the u.s. fail was thrust into public attention in 1990, when the senate judiciary antitrust subcommitee held hearings scrutinizing his business activities, in particular his acquisition of a federally funded thrift despite a prior indictment for fraud and the criminal conviction of his company. more recently, he has been noted for a variety of philanthropic and community leadership efforts.",https://en.wikipedia.org/wiki/index.php?curid=20722569
oskar alexander,oskar,painter,Croatian,1876,77,"oskar artur alexander ( february 20, 1876 -- april 16, 1953 ) was a croatian academic painter and professor.",https://en.wikipedia.org/wiki/index.php?curid=36378353
carl erik soya,carl,writer,Danish,1896,87,"carl erik soya, ( 1896 -- 1983 ), also known by the single appellation soya, was a danish author and dramatist. his works were often satirical provocations against double-standards and dishonesty. in 1975, soya received denmark 's foremost literary award, grand prize of the danish academy.",https://en.wikipedia.org/wiki/index.php?curid=17873383
frank bickerton,francis,explorer,British,1889,65,"francis `` frank '' howard bickerton ( 1889 -- 1954 ) was a treasure-hunter, antarctic explorer, soldier, aeronaut, entrepreneur, big-game hunter and movie-maker. he not only made a major contribution to the australasian antarctic expedition of 1911 -- 14 but was also recruited for sir ernest shackleton 's `` endurance '' expedition; he fought with the infantry, the royal flying corps and the royal air force in both world wars and was wounded on no fewer than four separate occasions. according to his obituary in `` the times '', `` his loyalty to his friends, his gallantry... and the unembittered courage with which he continued to meet the difficulties of a world which gave little recognition in peace to men of his mould -- leave to us who shared in one way or another his various life the memory of a rich, rewarding and abiding spirit ''. bickerton was a friend of author vita sackville-west and was the model for the character of leonard anquetil in her 1930 novel, `` the edwardians ''.",https://en.wikipedia.org/wiki/index.php?curid=12745956
w. matt lowe,william,merchant,American,1872,83,"william matthew lowe, known as w. matt lowe ( january 1, 1872 -- march 4, 1955 ), was a merchant and public official in the city of minden, the seat of government of webster parish in northwestern louisiana. during world war i and its aftermath, lowe served two terms from 1916 to 1920 as mayor of minden. a democrat, lowe was from 1940 to 1954 a member of the webster parish police jury, the parish governing commission equivalent to the county commission in other states.",https://en.wikipedia.org/wiki/index.php?curid=25116110
paul păun,paul,poet,Romanian,1915,78,"paul păun, september 5, 1915 -- april 9, 1994 ( born zaharia herșcovici, and who later in life changed his legal name to zaharia zaharia ), also signed his work paul paon and paul paon zaharia. he was a romanian and israeli avant-garde poet and visual artist, who wrote in romanian and french and produced surrealist and abstract drawings. he was also a medical doctor and surgeon. his work is registered with the adagp ( société des auteurs dans les arts graphiques et plastiques ) and the sgdl ( société des gens de lettres ). inspired in his youth by the poetry of vladimir mayakovsky and sergei yesenin and by the romanian avant-garde magazine `` unu '', he was a co-founder in the early 1930sof the magazines `` alge '' and `` viața imediată ''. păun set himself the goal of making poetry a living experience. he experimented briefly with licentious, ludic themes ( and was thus prosecuted for pornography ) before turning to marxism and proletkult aesthetics. like other avant-garde writers, including his friends gherasim luca and dolfi trost, he adhered to the then-illegal romanian communist party. păun soon developed an interest in surrealism, and became a member of the surrealist group formed at the very start of world war ii ( alongside gherasim luca, gellu naum, trost, and virgil teodorescu ). this small community survived clandestinely during the war years, when păun himself was marginalized due to his jewish ethnicity. it reemerged as a short-lived but very active group after the war, with many of their `` collective '' works written in french. păun also had at the time a noted debut as a surrealist painter and illustrator. like other artists and intellectuals in romania and elsewhere, he found himself disenchanted with stalinism already in the late 1930s, and subsequently with the post-war romanian communist regime. exposed to communist censorship, he stopped publishing or exhibiting his work. he emigrated to israel when he was already in his late forties, and focused on his medical career, with occasional public contributions to art and literature.",https://en.wikipedia.org/wiki/index.php?curid=24002974
david gemmell,david,author,English,1948,57,"david andrew gemmell (; 1 august 1948 -- 28 july 2006 ) was a bestselling british author of heroic fantasy. a former journalist and newspaper editor, gemmell had his first work of fiction published in 1984. he went on to write over thirty novels. best known for his debut, `` legend '', gemmell 's works display violence, yet also explore themes of honour, loyalty and redemption. with over one million copies sold, his work continues to sell worldwide. in 2008, the `` david gemmell legend award '' was established, intended to `` restore fantasy to its proper place in the literary pantheon ''; a steering group of 18 authors is chaired by writer stan nicholls and the award is decided by a public vote.",https://en.wikipedia.org/wiki/index.php?curid=83237
nicolas chorier,nicolas,lawyer,French,1612,79,"nicolas chorier ( september 1, 1612 -- august 14, 1692 ) was a french lawyer, writer, and historian. he is known especially for his historical works on dauphiné, as well as his erotic dialogue called `` the school of women, or the seven flirtatious encounters of aloisia '' ( ). he was born at vienne, in present-day isère. he practised as a lawyer in grenoble and then as a prosecutor for king louis xiv. his works on dauphiné remain an important source for historians to this day. he died at grenoble in his eightieth year.",https://en.wikipedia.org/wiki/index.php?curid=12556621
robert merle,robert,novelist,French,1908,95,robert merle (; 28 august 1908 -- 27 march 2004 ) was a french novelist.,https://en.wikipedia.org/wiki/index.php?curid=253014
anne wilkinson ( poet ),anne,poet,Canadian,1910,50,"anne cochran wilkinson ( née gibbons ) ( september 21, 1910 -- may 10, 1961 ) was a canadian poet who was part of the modernist movement in canadian poetry in the 1940s and 50s, one of only a few prominent women poets of the time, along with dorothy livesay and p.k. page. wilkinson published two books of poetry, `` counterpoint to sleep '' ( 1951 ) and `` the hangman ties the holly '' ( 1955 ). a founding editor and patron of the literary quarterly `` the tamarack review '', she also wrote a family history, `` lions in the way '' ( 1956 ), about her maternal family, the oslers, and a modern fairy tale for children, `` swann and daphne '' ( 1960 ), before her early death from cancer in 1961. her work was anthologized in `` the oxford book of canadian verse '', appeared in several prominent canadian literary journals of the day, including `` northern review '' and `` the tamarack review '', was broadcast on cbc radio 's `` anthology '' and recorded on the album `` six toronto poets '', alongside the works of w.w.e. ross, raymond souster, margaret avison, james reaney and jay macpherson. forgotten for several decades, her work has enjoyed a minor revival since the publication in 2003 of `` heresies: the complete poems of anne wilkinson, 1924 -- 1961 '', edited by dean irvine.",https://en.wikipedia.org/wiki/index.php?curid=16495222
Étienne weill-raynal,Étienne,historian,French,1887,94,"Étienne weill-raynal ( 1887-1982 ) was a french historian, resistant, journalist and socialist politician. as a scholar following world war i, he specialized in the subject of reparations. when world war ii began, he was dismissed from his teaching position and sent to the drancy internment camp because he was jewish. he escaped from the internment camp, and joined the national council of the french resistance. after the war, he wrote articles in socialist newspapers and served as a member of the national assembly from 1950 to 1951, representing oise.",https://en.wikipedia.org/wiki/index.php?curid=47026719
john drainie,john,broadcaster,Canadian,1916,50,"john robert roy drainie ( april 1, 1916 -- october 30, 1966 ) was a canadian actor and television presenter, who was called `` the greatest radio actor in the world '' by orson welles. drainie was most famous in canada for two long-running roles: the lead role of jake in the radio adaptation of w. o. mitchell 's `` jake and the kid '', and a popular one-man stage show in which he played humorist stephen leacock. as well, he played matthew cuthbert in the 1956 cbc film adaptation of `` anne of green gables '', and the narrator in the cbc 's 1952 series `` sunshine sketches ''. drainie began his career in radio with cjor, cknw and cbu in vancouver. he was one of a group of actors, including fletcher markle, alan young, lister sinclair, len peterson, arthur hill, bernie braden and andrew allan, who emerged in vancouver prior to world war ii, and eventually moved to toronto to become part of the cbc 's `` golden age of radio ''. drainie and ruth springford once appeared in a radio play by peterson, during which springford apparently forgot that she had one more scene, and left the studio early. drainie reportedly improvised a monologue until the director grabbed another actress and thrust her into the scene, at which point drainie ad libbed his way back into the script. the radio audience reportedly never realized that anything was amiss. he also worked with other notables throughout his long radio career, including jane mallett, toby robins, barry morse, james doohan, and christopher plummer. in 1954 he voiced an `` extraordinarily lifelike imitation '' of the character modelled after joseph mccarthy in the satirical radio play `` the investigator '', written by reuben ship, himself deported by the ins to canada in 1953 following anti-communist huac hearings. in 1964, drainie was also a cohost with laurier lapierre of the controversial newsmagazine series `` this hour has seven days ''. ill with cancer, drainie left the series in its second year, and was replaced by patrick watson. drainie died at the age of 50 in 1966. his widow, claire, subsequently married canadian theatre impresario nathan a. taylor. john and claire drainie 's eldest daughter, bronwyn drainie, is a noted canadian journalist and broadcaster who wrote a biography of her father, `` living the part: john drainie and the dilemma of canadian stardom '', in 1988. two major canadian awards, actra 's john drainie award and the writers ' trust of canada 's drainie-taylor biography prize, were named in drainie 's honour. he was also posthumously inducted into the bc entertainment hall of fame with a star walk plaque on granville street.",https://en.wikipedia.org/wiki/index.php?curid=3439509
jose collins,jose,artist,British,1887,71,"jose collins ( sometimes styled josé collins, 23 may 1887 -- 6 december 1958 ) was an english actress and singer celebrated for her performances in musical comedies and early motion pictures.",https://en.wikipedia.org/wiki/index.php?curid=6934130
samuel davidson,samuel,scholar,Irish,1807,90,samuel davidson ( september 1806 -- 1 april 1898 ) was an irish biblical scholar.,https://en.wikipedia.org/wiki/index.php?curid=1310921
bruce gyngell,bruce,executive,Australian,1929,71,"bruce gyngell ( ao ) ( 8 july 1929 -- 7 september 2000 ) was an influential australian television executive, prominent for 50 years in both australian and uk television. although gyngell began his career in radio, in the 1950s he stepped into the arena of early television broadcasting, helping to set up channel 9, the first commercial tv station in australia. he is credited with introducing the sofa format of breakfast television and in later life, for expressing his attraction to eastern ideas which ranged through zen buddhism, meditation and insight philosophy.",https://en.wikipedia.org/wiki/index.php?curid=2389015
e. t. burke,edmund,doctor,British,1888,53,"lieutenant colonel edmund tytler burke, dso, mb, chb ( 18 april 1888 - 14 june 1941 ) was a british doctor of medicine who fought in world war i and `` was one of england 's outstanding authorities on venereal diseases ''. burke was born in elgin, scotland on 18 april 1888 and was educated at perth academy and the university of glasgow and university of st.andrews. burke graduated from the university of glasgow and was a member of the special reserve of the royal army medical corps from 1913. during his wartime service, he was decorated with the distinguished service order and the serbian order of the white eagle with swords and was also mentioned in despatches. when he finished his military service, he had attained the rank of lieutenant colonel. by the late 1930s, burke was an assistant editor of the british journal of venereal diseases, director of the whitechapel clinic ( now the ambrose king centre ), consultant venerologist and he had published papers in the british medical journal and elsewhere. by the time of his death in 1942 ( or shortly before ), burke had been consultant venereologist in the public health department of the london county council and lecturer in venereal diseases in the london hospital medical college, university of london. burke died on 14 june 1941 at paignton, devon, england where he was a volunteer with the 10th devon ( torbay ) battalion of the home guard.",https://en.wikipedia.org/wiki/index.php?curid=27332606
robert h. goddard,robert,professor,American,1882,62,"robert hutchings goddard ( october 5, 1882 -- august 10, 1945 ) was an american engineer, professor, physicist, and inventor who is credited with creating and building the world 's first liquid-fueled rocket, which he successfully launched on march 16, 1926. goddard and his team launched 34 rockets between 1926 and 1941, achieving altitudes as high as and speeds as high as 885 km/h ( 550 mph ). goddard 's work as both theorist and engineer anticipated many of the developments that were to make spaceflight possible. he has been called the man who ushered in the space age. two of goddard 's 214 patented inventions -- a multi-stage rocket ( 1914 ), and a liquid-fuel rocket ( 1914 ) -- were important milestones toward spaceflight. his 1919 monograph `` a method of reaching extreme altitudes '' is considered one of the classic texts of 20th-century rocket science. goddard successfully applied three-axis control, gyroscopes and steerable thrust to rockets, to effectively control their flight. although his work in the field was revolutionary, goddard received very little public support for his research and development work. the press sometimes ridiculed his theories of spaceflight. as a result, he became protective of his privacy and his work. years after his death, at the dawn of the space age, he came to be recognized as the founding father of modern rocketry. he not only recognized the potential of rockets for atmospheric research, ballistic missiles and space travel but was the first to scientifically study, design and construct the rockets needed to implement those ideas.",https://en.wikipedia.org/wiki/index.php?curid=210597
wallace mccain,wallace,executive,Canadian,1930,81,"g. wallace f. mccain, ( april 9, 1930 -- may 13, 2011 ) was a canadian businessman, co-founder of mccain foods limited. with an estimated net worth of $ us 2.3 billion ( as of march 2011 ), mccain was ranked by forbes as the 13th wealthiest canadian and 512th in the world.",https://en.wikipedia.org/wiki/index.php?curid=3728569
charles v. hogan,charles,lawyer,American,1897,74,charles v. hogan was an american politician who represented the 1st essex district in the massachusetts senate for over 30 years.,https://en.wikipedia.org/wiki/index.php?curid=38788219
arthur hodgson,arthur,grazier,English,1818,84,"`` for the australian rules footballer, see arthur hodgson ( footballer ). '' sir arthur hodgson kcmg ( 29 june 1818 -- 24 december 1902 ) was an australian pioneer and politician.",https://en.wikipedia.org/wiki/index.php?curid=5125493
manuel antônio de almeida,manuel,novelist,Brazilian,1831,30,"manuel antônio de almeida ( november 17, 1831 -- november 28, 1861 ) was a brazilian satirical writer, medician and teacher. he is famous for the book `` memoirs of a police sergeant '', written under the pen name um brasileiro ( ). he is the patron of the 28th chair of the brazilian academy of letters.",https://en.wikipedia.org/wiki/index.php?curid=3302647
morris west,morris,writer,Australian,1916,83,"morris langlo west ao ( 26 april 19169 october 1999 ) was an australian novelist and playwright, best known for his novels `` the devil 's advocate '' ( 1959 ), `` the shoes of the fisherman '' ( 1963 ) and `` the clowns of god '' ( 1981 ). his books were published in 27 languages and sold more than 60 million copies worldwide. each new book he wrote after he became an established writer sold more than one million copies. west 's works were often focused on international politics and the role of the roman catholic church in international affairs. one of his best known works, `` the shoes of the fisherman '' ( 1963 ), described the election and career of a slav as pope, 15 years before the historic election of karol wojtyła as pope john paul ii. the sequel, `` the clowns of god '', described a successor pope, who resigned the papacy to live in seclusion.",https://en.wikipedia.org/wiki/index.php?curid=341506
"william s. burroughs, jr..",william,novelist,American,1947,33,"william seward burroughs iii ( july 21, 1947 -- march 3, 1981 ) was an american novelist, also known as william s. burroughs, jr. and billy burroughs. he bears the name of both his father and his great grandfather, william seward burroughs i, the original inventor of the burroughs adding machine. he wrote three novels, two of which were published as `` speed '' ( 1970 ) and `` kentucky ham '' ( 1973 ). his third novel, `` prakriti junction, '' begun in 1977, was never completed, although extracts from it were included in his third published work `` cursed from birth ''. burroughs jr. underwent a liver transplant in 1976 after developing cirrhosis. he died in 1981, at the age of 33, from alcoholism and liver failure. burroughs jr. appears briefly in the 1983 documentary '' '', about his father, in which he discusses his childhood, his liver problems, and his relationship with his family. in the documentary, john giorno calls him `` the last beatnik. ''",https://en.wikipedia.org/wiki/index.php?curid=1364050
harry forbes witherby,harry,publisher,British,1873,70,"harry forbes witherby, mbe, fzs, mbou ( 7 october 1873 - ) was a noted british ornithologist, author, publisher and founding editor ( in 1907 ) of the magazine british birds.",https://en.wikipedia.org/wiki/index.php?curid=349261
mary e. switzer,mary,administrator,American,1900,71,"mary elizabeth switzer ( february 16, 1900 - october 16, 1971 ) was an american public administrator and social reformer. she is best remembered for her work on the 1954 vocational rehabilitation act, which provided a great expansion of vocational rehabilitation service for people with disabilities. she publicized the government 's growing role in vocational rehabilitation and encouraged expansion of vocational rehabilitation projects among non-governmental organizations.",https://en.wikipedia.org/wiki/index.php?curid=6214097
james ross ( mla ),james,merchant,Canadian,1814,59,"james ross ( 6 september 1814 -- 23 january 1874 ) was a member of the legislative assembly of quebec. he was born in fearn, ross & cromarty, scotland, son of alexander ross and christian ross ( maiden surname also ross ) and emigrated to quebec city in approximately 1829. in the 1830s, he worked in a mercantile house in quebec and was captain of a ship trading to the west indies. on 10 may 1838, he married marianna browne ( 1820 -- 1890 ) of quebec city, with whom he had fourteen children ( ten surviving ). he and his family subsequently relocated to the eastern townships and in 1845 he founded the village of gould, quebec, where he manufactured pearl ash, ran a general store and served as the village 's mayor. he spoke four languages -- english, gaelic, french and spanish -- and contributed poetry to newspapers such as the sherbrooke gazette. ross was heavily involved with the politics of the sherbrooke region and is recorded as having moved the resolution for the organization of the county of sherbrooke in may 1848. he was named in a local newspaper as one of several likely candidates for election to the legislature of the province of canada in 1857. his ambitions for high office were finally achieved when he was elected to the first legislative assembly of quebec in the 1867 general election. ross was a member of the conservative party of quebec and represented the electoral district of compton. he defeated alden kendrick, a merchant. ross himself was defeated for re-election in 1871 by another conservative, william sawyer, who contested the seat at the behest of john henry pope after ross declined to support a railway project promoted by pope. after his defeat, ross was appointed dominion emigration agent for scotland and visited his home country in 1872 and 1873, giving lectures on canadian emigration. ross contracted pneumonia on his return from the 1873 trip and died at his home in gould on 23 january 1874.",https://en.wikipedia.org/wiki/index.php?curid=34970155
leon wasilewski,leon,politician,Polish,1870,66,"leon wasilewski ( 1870 -- 1936 ) was an activist of the polish socialist party ( pps ), a coworker of józef piłsudski, polish minister of foreign affairs, designer of much of second polish republic policy towards the east, historian and father of wanda wasilewska.",https://en.wikipedia.org/wiki/index.php?curid=9704665
kenneth st joseph,john,academic,British,1912,81,"john kenneth sinclair st joseph, cbe ( 13 november 1912 - 11 march 1994 ) was a british archaeologist, geologist and royal air force ( raf ) veteran who pioneered the use of aerial photography as a method of archaeological research in britain and ireland.",https://en.wikipedia.org/wiki/index.php?curid=13633602
albert préjean,albert,actor,French,1894,85,"albert préjean ( 27 october 1894, paris -- 1 november 1979, paris ) was a french actor, primarily in film. he served in world war i, and was decorated with the croix de guerre and the legion d'honneur. with lysiane rey, he was the father of patrick préjean, and grandfather of laura préjean.",https://en.wikipedia.org/wiki/index.php?curid=25015571
hans momsen,hans,farmer,Danish,1735,75,"hans momsen ( born 23 october 1735, fahretoft -- 13 september 1811, ibidem ) was a north frisian farmer, mathematician and astronomer. entirely without university studies he was able to solve complicated mathematical calculations and to construct astronomical devices, chronometers and other apparatus. he gave lessons in mathematics to gifted students. moreover he worked as a surveyor and built an organ for the church of fahretoft. he is considered a polymath.",https://en.wikipedia.org/wiki/index.php?curid=35143427
alves redol,antónio,writer,Portuguese,1911,57,antónio alves redol ( 29 december 1911 - 29 november 1969 ) was one of the most influential portuguese neorealist writers.,https://en.wikipedia.org/wiki/index.php?curid=3538799
richard bruce nugent,richard,author,American,1906,80,"richard bruce nugent ( july 2, 1906 -- may 27, 1987 ), aka richard bruce and bruce nugent, was a writer and painter in the harlem renaissance. one of many gay artists of the harlem renaissance, he was one of few who was out publicly. recognized initially for the few short stories and paintings that were published, nugent had a long productive career bringing to light the creative process of gay and black culture.",https://en.wikipedia.org/wiki/index.php?curid=2183787
harold w. jones,harold,physician,American,1877,80,"colonel harold w. jones, m.d. ( 1877 -- 1958 ), is noted as the director of the u.s. army medical library from 1936 through 1945, who made signal contributions to military medicine and to the evolution of the united states national library of medicine ( nlm ).",https://en.wikipedia.org/wiki/index.php?curid=27401367
marie prevost,marie,actor,Canadian,1898,38,"marie prevost ( november 8, 1898 -- january 21, 1937 ) was a canadian-born film actress. during her twenty-year career, she made 121 silent and talking pictures. prevost began her career during the silent film era. she was discovered by mack sennett who signed her to contract and made her one of his `` bathing beauties '' in the late 1910s. prevost appeared in dozens of sennett 's short comedy films before moving on to feature length films for universal. in 1922, she signed with warner bros. where her career flourished as a leading lady. she was a favorite of director ernst lubitsch who cast her in three of his comedy films; `` the marriage circle '' ( 1924 ), `` three women '' ( 1924 ) and `` kiss me again '' ( 1925 ). after being let go by warner bros. in early 1926, prevost 's career began to decline and she was relegated to secondary roles. she was also beset with personal problems, including the death of her mother in 1926 and the breakdown of her marriage to actor kenneth harlan in 1927, which fueled her depression. she began to abuse alcohol and binge eat causing her to gain weight thus making it difficult for her to secure acting jobs. by 1935, prevost was only able to secure bit parts in films. she made her last onscreen appearance in 1936. after years of drinking, prevost died of acute alcoholism at the age of 38 in january 1937. prevost 's estate was valued at $ 300 since she had squandered most of her earnings. her death prompted the hollywood community to create the motion picture & television country house and hospital.",https://en.wikipedia.org/wiki/index.php?curid=184473
peter dyneley,peter,filmmaker,British,1921,56,"peter dyneley ( 13 april 192119 august 1977 ) was an anglo-canadian actor. although he appeared in many smaller roles in both film and television, he is best remembered for supplying the voice of jeff tracy for the 1960s `` supermarionation '' tv series `` thunderbirds '' and its two film sequels, `` thunderbirds are go '' ( 1966 ) and `` thunderbird 6 '' ( 1968 ), all produced by gerry anderson. uncredited, dyneley also provided the voice of the countdown that introduces the `` thunderbirds '' title sequence.",https://en.wikipedia.org/wiki/index.php?curid=2977960
doris hare,doris,actor,Welsh,1905,95,"doris hare, mbe ( 1 march 1905 -- 30 may 2000 ) was a welsh actress, singer, dancer and comedienne, active in new york and london, as well as scotland, she is best known for being the second actress to portray mrs mabel `` mum '' butler in the popular sitcom `` on the buses '' alongside reg varney.",https://en.wikipedia.org/wiki/index.php?curid=4629504
saul friedman,saul,journalist,American,1929,81,"saul friedman ( march 4, 1929 -- december 24, 2010 ) was an american political journalist and educator. he won a pulitzer prize in 1968.",https://en.wikipedia.org/wiki/index.php?curid=5661919
alfred ashley-brown,alfred,director,Australian,1907,85,"alfred ashley-brown ( 6 november 1907 -- 5 march 1993 ) was an australian politician. born in sydney, he was a company director, and served in the military 1942-45 - rank of major. a member of blacktown city council, he was the mayor from 1961 -- 65 and 1968-71. in 1972, he was elected to the australian house of representatives as the labor member for mitchell, defeating liberal mp les irwin. he was defeated by liberal alan cadman in 1974. ashley-brown died in 1993.",https://en.wikipedia.org/wiki/index.php?curid=17570317
peter barbour,peter,officer,Australian,1925,71,"peter robert woolnough barbour ( 5 october 1925 -- 22 november 1996 ) was an australian intelligence officer and diplomat, who was the director-general of security leading the australian security intelligence organisation ( asio ) from 1970 to 1975.",https://en.wikipedia.org/wiki/index.php?curid=43739988
richard a. waterfield,richard,businessperson,American,1939,67,"richard allen waterfield, known as dick waterfield ( august 24, 1939 -- february 26, 2007 ), was a rancher in the texas panhandle who from 1987 to 1991 was a republican member of the texas house of representatives from district 88, including his hometown of canadian, texas. waterfield was particularly known for his advocacy of home meal-delivery systems for the elderly and disabled.",https://en.wikipedia.org/wiki/index.php?curid=35831216
